117,13,202,13,202,40,117,40
238,13,283,13,283,40,238,40
324,13,373,13,373,40,324,40
409,13,472,13,472,40,409,40
513,13,549,13,549,36,513,36
585,13,688,13,688,40,585,40
724,13,783,13,783,40,724,40
2592,13,2641,13,2641,36,2592,36
2641,13,2686,13,2686,31,2641,31
2695,13,2731,13,2731,36,2695,36
2740,13,2799,13,2799,36,2740,36
2803,13,2848,13,2848,36,2803,36
2448,76,2515,76,2515,103,2448,103
2515,76,2610,76,2610,103,2515,103
2610,76,2677,76,2677,103,2610,103
2272,148,2371,148,2371,175,2272,175
2403,147,2476,153,2474,181,2401,175
2479,148,2605,148,2605,175,2479,175
2610,153,2641,153,2641,180,2610,180
2646,153,2781,153,2781,171,2646,171
2245,211,2290,211,2290,229,2245,229
2322,216,2349,216,2349,229,2322,229
2358,216,2412,216,2412,229,2358,229
2416,216,2475,216,2475,229,2416,229
2578,229,2637,229,2637,256,2578,256
2641,229,2740,229,2740,256,2641,256
2641,279,2677,279,2677,310,2641,310
2578,283,2637,283,2637,310,2578,310
2677,283,2785,283,2785,310,2677,310
2245,315,2295,315,2295,328,2245,328
2299,315,2349,315,2349,328,2299,328
2353,315,2425,315,2425,328,2353,328
2583,333,2641,333,2641,360,2583,360
2646,333,2695,333,2695,360,2646,360
2700,333,2722,333,2722,360,2700,360
2740,333,2821,333,2821,360,2740,360
2583,382,2700,382,2700,414,2583,414
2704,387,2776,387,2776,414,2704,414
2263,423,2326,423,2326,436,2263,436
2331,423,2367,423,2367,436,2331,436
2412,486,2470,486,2470,504,2412,504
2250,490,2317,490,2317,504,2250,504
2317,490,2407,490,2407,504,2317,504
2241,553,2290,553,2290,571,2241,571
2290,553,2362,553,2362,571,2290,571
2367,553,2425,553,2425,571,2367,571
2259,625,2322,625,2322,652,2259,652
2461,666,2547,666,2547,679,2461,679
2668,666,2754,666,2754,684,2668,684
2758,666,2826,666,2826,679,2758,679
2632,886,2695,886,2695,909,2632,909
2704,882,2849,887,2848,909,2703,904
2484,891,2515,891,2515,904,2484,904
2713,922,2772,922,2772,940,2713,940
2452,1111,2551,1111,2551,1129,2452,1129
2709,1111,2785,1111,2785,1129,2709,1129
2488,1332,2524,1332,2524,1359,2488,1359
2659,1332,2790,1332,2790,1359,2659,1359
2790,1336,2839,1336,2839,1359,2790,1359
2641,1557,2754,1557,2754,1584,2641,1584
2763,1557,2853,1557,2853,1579,2763,1579
2470,1561,2538,1561,2538,1579,2470,1579
2713,1588,2790,1588,2790,1615,2713,1615
